,id,title,is_paid,price,currency,price_string,currency_symbol,url
3837,363348.0,workplace communication effectively deliver criticism,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/how-to-deliver-criticism-in-the-workplace/
3838,137188.0,train trainer foundation adult education mastery course,1.0,94.99,EUR,€94.99,€,https://www.udemy.com/course/training-essentials-of-adult-education/
3839,512678.0,angularjs crash course beginners,1.0,74.99,EUR,€74.99,€,https://www.udemy.com/course/angularjs-crash-course-for-beginners/
3840,185916.0,excel data analysis dummies,1.0,49.99,EUR,€49.99,€,https://www.udemy.com/course/excel-data-analysis-for-dummies/
3841,23972.0,improve communication speak smoothly clearly  confidently,1.0,24.99,EUR,€24.99,€,https://www.udemy.com/course/start-speaking-smoothly-fluently-clearly-confidently/
3842,77918.0,adobe audition cc audio production course basics expert,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/adobe-audition-cc-audio-production-course-basics-to-expert/
3843,124030.0,udemy masters 2016 online course creation  unofficial,1.0,29.99,EUR,€29.99,€,https://www.udemy.com/course/unofficial-teach-online-courses-complete-udemy-course-creation-guide/
3844,1138282.0,rest assured api automationallure reports  introduction,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/rest-api-testing-with-rest-assuredpostman-part1/
3845,1256352.0,istqb foundation level exams  explanations   updated,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/istqb-foundation-level-practice-exams/
3846,1051430.0,accounting learn everything,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/intermediateaccounting/
3847,1263468.0,rest apis using spring data rest,1.0,29.99,EUR,€29.99,€,https://www.udemy.com/course/microservices-rest-apis-using-spring-data-rest/
3848,1264542.0,english writing skills,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/english-writing-skills/
3849,1478178.0,risk management pmirmp real practice exams,1.0,29.99,EUR,€29.99,€,https://www.udemy.com/course/pmi-rmp-real-practice-exams/
3850,1575904.0,taoist meditation course  guided meditation,1.0,44.99,EUR,€44.99,€,https://www.udemy.com/course/taoist-meditation-course-taoism-guided-meditation/
3851,1850832.0,application packaging training,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/application-packaging-training/
3852,512678.0,angularjs crash course beginners,1.0,74.99,EUR,€74.99,€,https://www.udemy.com/course/angularjs-crash-course-for-beginners/
3853,1795952.0,complete neural networks bootcamp theory applications,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-neural-networks-bootcamp-theory-applications/
